i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
8,3,53,54.9016552,1.5,0.5,1,53.53317645,58.27455055,58.27455055,55.65116371,55.01555655,54.16303997,55.1309287,53.6485725,53.65056488
8,4,48,50.1450449,1.5,0.5,1,50.09931979,51.34388518,51.34388518,50.50317757,50.46495057,50.80648676,50.26370341,50.1526374,50.15263738
8,5,58,60.2312562,1.5,0.5,1,60.23249643,61.60078372,61.60078372,60.11438859,59.66062863,59.50633365,60.28728859,58.4903588,58.5186775
8,6,47,49.7749231,1.5,0.5,1,49.78126397,52.20600513,52.20600513,50.51256176,50.1348303,49.95897179,49.82621378,49.8170638,49.81712993
8,7,41,42.2555459,1.5,0.5,1,42.36719221,45.9005113,45.9005113,43.03448339,42.66604923,42.58287488,42.41896186,42.1868233,42.18682328
8,8,51,53.2910442,1.5,0.5,1,53.29104423,55.88282147,55.88282147,52.61545598,52.59033521,52.39608118,52.25277624,52.2146856,52.21362986
8,9,39,40.9088433,1.5,0.5,1,40.90884329,42.96290417,42.96290417,41.47192993,40.90032214,40.57073008,40.37810178,40.362925,40.36292501
8,10,67,69.508398,1.5,0.5,1,69.62494865,71.09556636,71.09556636,69.17300367,68.88651567,68.72096237,69.20926926,68.3284643,68.30468028
9,1,83,86.9947175,1.5,0.75,0.2,87.00917714,87.441214,87.441214,86.88485594,86.78338964,86.79310952,86.68442591,86.7155917,86.63892487
9,2,92,93.6266151,1.5,0.75,0.2,93.62661514,95.22677995,95.22677995,94.16293028,94.16293028,93.43128831,93.43128831,93.350548,93.35054796
9,3,68,73.53366,1.5,0.75,0.2,73.30706526,73.9497749,73.9497749,73.2867581,73.26973446,73.25807341,73.28523216,73.2567392,73.25673921
9,4,71,75.4206982,1.5,0.75,0.2,75.3226678,75.66389429,75.66389429,75.54054578,75.44346806,75.24676861,75.1294029,75.3871497,75.23743469
9,5,70,73.247687,1.5,0.75,0.2,73.24768697,74.71598539,74.71598539,73.41391407,73.22706044,73.2412004,73.24780211,73.247687,73.24768697
9,6,59,63.414389,1.5,0.75,0.2,63.41438895,64.04963099,64.04963099,63.42749484,63.42321797,63.42321797,63.41606065,63.4143037,63.41430375
9,7,63,67.2794573,1.5,0.75,0.2,67.46185642,68.68047982,68.68047982,66.95633014,66.81219984,66.73406825,66.89460127,66.734073,66.69064471
